id,label,item_id,kind,course_id,section_index,section_slug,section_title,section_chunk_index,week,order,tags,source_path,metrics
0,The essence of calculus,WUvTyaaNkzM,lecture,essence_linear_algebra,,,,,1,0,math,https://youtu.be/WUvTyaaNkzM,{"views": 10000000, "likes": 0, "duration": 1025}
1,The paradox of the derivative | Chapter 2, Essence of calculus,9vKqVkMQHKk,lecture,essence_linear_algebra,,,,,2,1,math,https://youtu.be/9vKqVkMQHKk,{"views": 4100000, "likes": 0, "duration": 1010}
2,Derivative formulas through geometry | Chapter 3, Essence of calculus,S0_qX4VJhMQ,lecture,essence_linear_algebra,,,,,3,2,math,https://youtu.be/S0_qX4VJhMQ,{"views": 3300000, "likes": 0, "duration": 1054}
3,Visualizing the chain rule and product rule | Chapter 4, Essence of calculus,YG15m2VwSjA,lecture,essence_linear_algebra,,,,,4,3,math,https://youtu.be/YG15m2VwSjA,{"views": 2100000, "likes": 0, "duration": 956}
4,What's so special about Euler's number e? | Chapter 5, Essence of calculus,m2MIpDrF7Es,lecture,essence_linear_algebra,,,,,5,4,math,https://youtu.be/m2MIpDrF7Es,{"views": 4700000, "likes": 0, "duration": 830}
5,Implicit differentiation, what's going on here? | Chapter 6, Essence of calculus,qb40J4N1fa4,lecture,essence_linear_algebra,,,,,6,5,math,https://youtu.be/qb40J4N1fa4,{"views": 2100000, "likes": 0, "duration": 934}
6,Limits, L'Hôpital's rule, and epsilon delta definitions | Chapter 7, Essence of calculus,kfF40MiS7zA,lecture,essence_linear_algebra,,,,,7,6,math,https://youtu.be/kfF40MiS7zA,{"views": 2300000, "likes": 0, "duration": 1107}
7,Integration and the fundamental theorem of calculus | Chapter 8, Essence of calculus,rfG8ce4nNh0,lecture,essence_linear_algebra,,,,,8,7,math,https://youtu.be/rfG8ce4nNh0,{"views": 2700000, "likes": 0, "duration": 1246}
8,What does area have to do with slope? | Chapter 9, Essence of calculus,FnJqaIESC2s,lecture,essence_linear_algebra,,,,,9,8,math,https://youtu.be/FnJqaIESC2s,{"views": 1500000, "likes": 0, "duration": 759}
9,Higher order derivatives | Chapter 10, Essence of calculus,BLkz5LGWihw,lecture,essence_linear_algebra,,,,,10,9,math,https://youtu.be/BLkz5LGWihw,{"views": 847000, "likes": 0, "duration": 339}
10,Taylor series | Chapter 11, Essence of calculus,3d6DsjIBzJ4,lecture,essence_linear_algebra,,,,,11,10,math,https://youtu.be/3d6DsjIBzJ4,{"views": 4700000, "likes": 0, "duration": 1340}
11,The other way to visualize derivatives | Chapter 12, Essence of calculus,CfW845LNObM,lecture,essence_linear_algebra,,,,,12,11,math,https://youtu.be/CfW845LNObM,{"views": 3700000, "likes": 0, "duration": 866}
12,The essence of calculus [segment 0],WUvTyaaNkzM::seg0,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
13,first video series,kw::first video series,concept,essence_linear_algebra,,,,,,,,,
14,video series,kw::video series,concept,essence_linear_algebra,,,,,,,,,
15,derivative formulas,kw::derivative formulas,concept,essence_linear_algebra,,,,,,,,,
16,product rule,kw::product rule,concept,essence_linear_algebra,,,,,,,,,
17,memorized lots derivative,kw::memorized lots derivative,concept,essence_linear_algebra,,,,,,,,,
18,The essence of calculus [segment 1],WUvTyaaNkzM::seg1,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
19,opposite tailor series,kw::opposite tailor series,concept,essence_linear_algebra,,,,,,,,,
20,tailor series,kw::tailor series,concept,essence_linear_algebra,,,,,,,,,
21,chain rule implicit,kw::chain rule implicit,concept,essence_linear_algebra,,,,,,,,,
22,rule implicit differentiation,kw::rule implicit differentiation,concept,essence_linear_algebra,,,,,,,,,
23,chain rule,kw::chain rule,concept,essence_linear_algebra,,,,,,,,,
24,The essence of calculus [segment 2],WUvTyaaNkzM::seg2,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
25,ideas,kw::ideas,concept,essence_linear_algebra,,,,,,,,,
26,yourself,kw::yourself,concept,essence_linear_algebra,,,,,,,,,
27,across,kw::across,concept,essence_linear_algebra,,,,,,,,,
28,could,kw::could,concept,essence_linear_algebra,,,,,,,,,
29,diagrams,kw::diagrams,concept,essence_linear_algebra,,,,,,,,,
30,The essence of calculus [segment 3],WUvTyaaNkzM::seg3,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
31,ideas calculus integrals,kw::ideas calculus integrals,concept,essence_linear_algebra,,,,,,,,,
32,calculus integrals,kw::calculus integrals,concept,essence_linear_algebra,,,,,,,,,
33,calculus integrals big,kw::calculus integrals big,concept,essence_linear_algebra,,,,,,,,,
34,integrals big ideas,kw::integrals big ideas,concept,essence_linear_algebra,,,,,,,,,
35,integrals big,kw::integrals big,concept,essence_linear_algebra,,,,,,,,,
36,The essence of calculus [segment 4],WUvTyaaNkzM::seg4,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
37,circle,kw::circle,concept,essence_linear_algebra,,,,,,,,,
38,rings,kw::rings,concept,essence_linear_algebra,,,,,,,,,
39,let's,kw::let's,concept,essence_linear_algebra,,,,,,,,,
40,promising,kw::promising,concept,essence_linear_algebra,,,,,,,,,
41,respect,kw::respect,concept,essence_linear_algebra,,,,,,,,,
42,The essence of calculus [segment 5],WUvTyaaNkzM::seg5,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
43,rectangle,kw::rectangle,concept,essence_linear_algebra,,,,,,,,,
44,which,kw::which,concept,essence_linear_algebra,,,,,,,,,
45,thickness,kw::thickness,concept,essence_linear_algebra,,,,,,,,,
46,approximate,kw::approximate,concept,essence_linear_algebra,,,,,,,,,
47,The essence of calculus [segment 6],WUvTyaaNkzM::seg6,segment,essence_linear_algebra,1,,,,1,0,,https://youtu.be/WUvTyaaNkzM,
48,better,kw::better,concept,essence_linear_algebra,,,,,,,,,
49,closer,kw::closer,concept,essence_linear_algebra,,,,,,,,,
50,radius,kw::radius,concept,essence_linear_algebra,,,,,,,,,
